THREONINE--TRNA-LIGASE-RXN AFE_0489
SAICARSYN-RXN AFE_0747
GUANINE-DEAMINASE-RXN AFE_2268
GST-RXN AFE_1610
GSHTRAN-RXN AFE_1610
DAPASYN-RXN AFE_1166
BETA-PHOSPHOGLUCOMUTASE-RXN AFE_1618
TRANS-RXN9AR-16481 AFE_0187
TYROSINE--TRNA-LIGASE-RXN AFE_0030
THI-P-SYN-RXN AFE_3029
RXN0-1281 AFE_1067
RXN-2961 AFE_2344
TRANS-RXN9AR-16495 AFE_0786
3.2.1.141-RXN AFE_1013
RXN0-5181 AFE_1013
RXN-1823 AFE_1013
RXN-1825 AFE_1013
ALPHA-AMYL-RXN AFE_1013
RXN-9023 AFE_0268
RXN-1826 AFE_1286
RXN0-2602 AFE_2574
MYRISTOYLACYLTRAN-RXN AFE_2790
MYRPALMTRAN-RXN AFE_2790
LAUROYLACYLTRAN-RXN AFE_2790
PALMITOTRANS-RXN AFE_2790
RXN-9003 AFE_2448
RXN-9230 AFE_2448
2.5.1.39-RXN AFE_2448
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN AFE_2448
RIBULP3EPIM-RXN AFE_3086
ANTHRANSYN-RXN AFE_3089
GSADENYLATION-RXN AFE_2490
RXN0-5055 AFE_2831
BIOTIN-CARBOXYL-RXN AFE_2831
ACETYL-COA-CARBOXYLTRANSFER-RXN AFE_2831
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN AFE_1024
TRANS-RXN9AR-16507 AFE_2868
SULFATE-ADENYLYLTRANS-RXN AFE_0140
BETA-LACTAMASE-RXN AFE_0925
IMP-DEHYDROG-RXN AFE_1308
LYSINE--TRNA-LIGASE-RXN AFE_2557
3.1.26.3-RXN AFE_1681
PHOSPHOGLUCMUT-RXN AFE_0775
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN AFE_2660
RXN0-4261 AFE_0289
ACID-PHOSPHATASE-RXN AFE_2569
RXNQT-4191 AFE_2569
PEPTIDYLPROLYL-ISOMERASE-RXN AFE_1106
ANTHRANSYN-RXN AFE_3088
GLUTRNAREDUCT-RXN AFE_0345
ARGININE--TRNA-LIGASE-RXN AFE_2856
DXS-RXN AFE_1118
RXN0-2382 AFE_1027
TRYPSYN-RXN AFE_1027
RXN0-2381 AFE_1027
RXN0-5256 AFE_2108
1.17.4.2-RXN AFE_0387
PABASYN-RXN AFE_2462
SUCROSE-PHOSPHATE-SYNTHASE-RXN AFE_1533
DARAB5PISOM-RXN AFE_0080
TRANS-RXN-141 AFE_3113
TRANS-RXN-141A AFE_3113
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN AFE_0942
RXN0-5144 AFE_2360
2.1.1.61-RXN AFE_2360
DIHYDROOROT-RXN AFE_0052
TRANS-RXN-143 AFE_1332
