RSTA-RXN RSTB-RXN
GLYCINE--TRNA-LIGASE-RXN AKBLIG-RXN
LTAA-RXN AKBLIG-RXN
GCVMULTI-RXN AKBLIG-RXN
RXN0-5234 AKBLIG-RXN
RXN0-1641 AKBLIG-RXN
GLYOHMETRANS-RXN AKBLIG-RXN
PHENYLSERINE-ALDOLASE-RXN AKBLIG-RXN
RXN0-6470 AKBLIG-RXN
RXN0-6563 AKBLIG-RXN
GLUTATHIONE-SYN-RXN AKBLIG-RXN
GLYRIBONUCSYN-RXN AKBLIG-RXN
THREOSPON-RXN AKBLIG-RXN
TRANS-RXN-62B AKBLIG-RXN
GCVP-RXN AKBLIG-RXN
TRANS-RXN0-447 DEOXYADENPHOSPHOR-RXN
ADDALT-RXN DEOXYADENPHOSPHOR-RXN
TRANS-RXN-108C DEOXYADENPHOSPHOR-RXN
ADENINE-DEAMINASE-RXN DEOXYADENPHOSPHOR-RXN
ADENPHOSPHOR-RXN DEOXYADENPHOSPHOR-RXN
DEOXYGUANPHOSPHOR-RXN DEOXYADENPHOSPHOR-RXN
URA-PHOSPH-RXN DEOXYADENPHOSPHOR-RXN
DEOXYINOPHOSPHOR-RXN DEOXYADENPHOSPHOR-RXN
THYM-PHOSPH-RXN DEOXYADENPHOSPHOR-RXN
RIBOKIN-RXN R148-RXN
RXN0-5305 R148-RXN
INOSINE-NUCLEOSIDASE-RXN R148-RXN
DIHYDROXYISOVALDEHYDRAT-RXN ACETOLACTREDUCTOISOM-RXN
RXN-6081 ACETOLACTREDUCTOISOM-RXN
RXN0-5392 ACETOLACTREDUCTOISOM-RXN
TRANS-RXN0-228 RXN0-2701
1.1.1.264-RXN RXN0-2701
YIAE1-RXN RXN0-2701
GLUCONATE-5-DEHYDROGENASE-RXN RXN0-2701
RXN0-5108 GUANOSINE-DIPHOSPHATASE-RXN
GMP-REDUCT-RXN GUANOSINE-DIPHOSPHATASE-RXN
COBALAMINSYN-RXN GUANOSINE-DIPHOSPHATASE-RXN
RXN-7609 GUANOSINE-DIPHOSPHATASE-RXN
GUANYL-KIN-RXN GUANOSINE-DIPHOSPHATASE-RXN
GUANPRIBOSYLTRAN-RXN GUANOSINE-DIPHOSPHATASE-RXN
RXN-11481 RXN-11480
DAPASYN-RXN RXN-11484
TRANS-RXN0-459 RXN-11483
RXN-11484 RXN-11483
RXN0-5128 P-PANTOCYSLIG-RXN
RXN-11832 P-PANTOCYSLIG-RXN
PHOSPHAGLYPSYN-RXN P-PANTOCYSLIG-RXN
PHOSPHASERSYN-RXN P-PANTOCYSLIG-RXN
KDOTRANS2-RXN P-PANTOCYSLIG-RXN
CDPDIGLYPYPHOSPHA-RXN P-PANTOCYSLIG-RXN
P-PANTOCYSDECARB-RXN P-PANTOCYSLIG-RXN
KDOTRANS-RXN P-PANTOCYSLIG-RXN
RXN-12198 P-PANTOCYSLIG-RXN
RXN-11483 RXN-11482
RXN-11482 RXN-11481
RHAMNULPALDOL-RXN RHAMNULOKIN-RXN
MALTACETYLTRAN-RXN MALTODEG-RXN
ALDOSE-1-EPIMERASE-RXN MALTODEG-RXN
RXN-12402 MALTODEG-RXN
GLUCDEHYDROG-RXN MALTODEG-RXN
3.2.1.21-RXN MALTODEG-RXN
ABC-16-RXN MALTODEG-RXN
GLUCOKIN-RXN MALTODEG-RXN
RXN0-1741 MALTODEG-RXN
RXN0-6372 MALTODEG-RXN
RXN0-6373 MALTODEG-RXN
AMYLOMALT-RXN MALTODEG-RXN
TRANS-RXN-157 MALTODEG-RXN
RXN0-6418 MALTODEG-RXN
RXN0-5382 TRANS-RXN-241
TRANS-RXN0-487 TRANS-RXN-241
RXN0-16 TRANS-RXN-241
HOMSUCTRAN-RXN TRANS-RXN-242
HOMOSERKIN-RXN TRANS-RXN-242
THREODEHYD-RXN TRANS-RXN-244
THREDEHYD-RXN TRANS-RXN-244
THREONINE--TRNA-LIGASE-RXN TRANS-RXN-244
TRANS-RXN-72 TRANS-RXN-244
THREONINE-ALDOLASE-RXN TRANS-RXN-244
ACSERLY-RXN RXN-11496
NADH-DEHYDROG-A-RXN RXN-11496
ACECOATRANS-RXN RXN-11496
ACETOACETYL-COA-TRANSFER-RXN RXN-11496
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN RXN-11496
RXN0-5268 RXN-11496
RXN0-1981 RXN-11496
TRANS-RXN0-237 RXN-11496
RXN0-6369 RXN-11496
RXN0-5266 RXN-11496
RXN0-5414 RXN-11496
CITC-RXN RXN-11496
RXN-12352 RXN-11496
ACETATEKIN-RXN RXN-11496
TREHALOSEPHOSPHA-RXN TREHALOSE6PSYN-RXN
UDPKIN-RXN TREHALOSE6PSYN-RXN
NACGLCTRANS-RXN TREHALOSE6PSYN-RXN
UDPMANACATRANS-RXN TREHALOSE6PSYN-RXN
RXN0-5413 TREHALOSE6PSYN-RXN
RXN0-6466 TREHALOSE6PSYN-RXN
RXN0-5210 TREHALOSE6PSYN-RXN
2.7.4.22-RXN TREHALOSE6PSYN-RXN
TRE6PHYDRO-RXN TREHALOSE6PSYN-RXN
UDPREDUCT-RXN TREHALOSE6PSYN-RXN
RXN-12197 TREHALOSE6PSYN-RXN
RXN0-722 TREHALOSE6PSYN-RXN
2.4.1.58-RXN TREHALOSE6PSYN-RXN
DIHYDROFOLATESYNTH-RXN H2PTEROATESYNTH-RXN
RXN0-5128 CPM-KDOSYNTH-RXN
KDOTRANS2-RXN CPM-KDOSYNTH-RXN
KDOTRANS-RXN CPM-KDOSYNTH-RXN
TRANS-RXN0-459 MCPTAR-RXN
CHERTARM-RXN MCPTAR-RXN
RXN0-294 TRANS-RXN-94A
ALPHAGALACTOSID-RXN TRANS-RXN-94A
RXN0-283 TRANS-RXN-94A
TRANS-RXN-126B TRANS-RXN-94A
TRANS-RXN-126A TRANS-RXN-94A
TRANS-RXN-94B TRANS-RXN-94A
TRANS-RXN0-235 TRANS-RXN-94A
TRANS-RXN-125 TRANS-RXN-94A
